name,datagroup
현대 포레스트,16
현대 포터2,15
미니 해치백,383
미니 해치백 S,383
미니 해치백 JCW,383
롤스로이스 고스트 블랙배지,553
마세라티 콰트로포르테,579
포드 머스탱 컨버터블,854
포드 머스탱,854
포르쉐 마칸,960
포르쉐 마칸 GTS,960
시트로엥 그랜드 C4 스페이스 투어러,1011
마세라티 기블리,1046
테슬라 모델S,1091
테슬라 모델X,1092
볼보 XC90,1390
메르세데스-벤츠 AMG GT C 로드스터,1562
지프 레니게이드,1573
미니 클럽맨 S,1585
미니 클럽맨,1585
미니 클럽맨 JCW,1585
아우디 Q7,1603
미니 컨버터블 JCW,1649
미니 컨버터블 S,1649
미니 컨버터블,1649
포르쉐 카이맨,1653
포르쉐 카이맨 GTS,1653
포르쉐 박스터 GTS,1654
포르쉐 박스터,1654
메르세데스-벤츠 AMG E클래스 쿠페,2322
메르세데스-벤츠 E클래스 쿠페,2322
메르세데스-벤츠 E클래스 카브리올레,2322
메르세데스-벤츠 AMG E클래스,2322
메르세데스-벤츠 E클래스,2322
시트로엥 C4 칵투스,2522
캐딜락 XT5,2526
볼보 S90,2554
마세라티 르반떼,2566
애스턴마틴 DB11 볼란테,2571
BMW 5시리즈 플러그인 하이브리드,2573
BMW 5시리즈,2573
포르쉐 파나메라 GTS,2579
포르쉐 파나메라,2579
볼보 V90 크로스 컨트리,2581
미니 컨트리맨,2589
미니 컨트리맨 S,2589
미니 컨트리맨 JCW,2589
벤틀리 벤테이가,2596
페라리 812 슈퍼패스트,2605
BMW 6시리즈 그란투리스모,2614
볼보 XC60,2616
토요타 캠리 하이브리드,2617
토요타 캠리,2617
렉서스 LS,2622
렉서스 LS 하이브리드,2622
BMW X3 플러그인 하이브리드,2623
BMW X3,2623
아우디 R8,2625
푸조 5008,2626
푸조 5008 GT,2626
폭스바겐 아테온,2634
폭스바겐 파사트 GT,2639
폭스바겐 티구안,2641
폭스바겐 티구안 올스페이스,2641
현대 넥쏘,2658
페라리 포르토피노,2659
메르세데스-벤츠 AMG CLS클래스,2676
메르세데스-벤츠 CLS클래스,2676
BMW M5,2678
지프 랭글러,2687
지프 랭글러 4XE,2687
지프 랭글러 2도어,2687
렉서스 ES F 스포츠 하이브리드,2693
렉서스 ES 하이브리드,2693
람보르기니 우루스,2696
BMW X2,2700
BMW X4,2703
BMW X5,2708
DS 7 크로스백,2715
푸조 508 SW,2716
푸조 508,2716
벤틀리 컨티넨탈 GT,2725
BMW 3시리즈 플러그인 하이브리드,2729
KG 모빌리티 코란도,2737
링컨 노틸러스,2738
볼보 V60 크로스 컨트리,2739
렉서스 UX F 스포츠 하이브리드,2748
렉서스 UX 하이브리드,2748
토요타 라브4 하이브리드,2766
포르쉐 911 타르가 GTS,2770
포르쉐 911 GT3,2770
포르쉐 911 카레라 카브리올레,2770
포르쉐 911 터보,2770
포르쉐 911 터보 카브리올레,2770
포르쉐 911 타르가,2770
포르쉐 911 카레라 GTS,2770
포르쉐 911 카레라 GTS 카브리올레,2770
볼보 S60,2781
현대 베뉴,2782
페라리 F8 트리뷰토,2786
페라리 F8 스파이더,2786
아우디 A5 카브리올레,2788
아우디 A5,2788
BMW 1시리즈,2790
테슬라 모델3,2792
기아 모하비,2793
메르세데스-벤츠 AMG GLE클래스,2796
메르세데스-벤츠 GLE 쿠페,2796
메르세데스-벤츠 GLE클래스,2796
메르세데스-벤츠 AMG GLE 쿠페,2796
메르세데스-벤츠 GLE 쿠페 플러그인 하이브리드,2796
메르세데스-벤츠 GLE클래스 플러그인 하이브리드,2796
메르세데스-벤츠 AMG A클래스,2798
메르세데스-벤츠 AMG A클래스 세단,2798
메르세데스-벤츠 A클래스,2798
메르세데스-벤츠 A클래스 세단,2798
BMW X3 M,2799
BMW X4 M,2800
포드 익스플로러,2801
기아 봉고3,2804
BMW 8시리즈 그란쿠페,2806
BMW 8시리즈,2806
아우디 Q2,2807
아우디 A6,2809
아우디 A8,2825
DS 3 크로스백 E-텐스,2826
현대 포터2 일렉트릭,2827
기아 K5,2828
기아 K5 하이브리드,2829
BMW X6,2830
제네시스 GV80,2835
쉐보레 트레일블레이저,2836
토요타 GR 수프라,2837
폭스바겐 투아렉,2841
메르세데스-벤츠 CLA클래스,2842
메르세데스-벤츠 AMG CLA클래스,2842
BMW 2시리즈,2843
BMW 2시리즈 그란쿠페,2843
르노코리아 XM3,2847
기아 쏘렌토,2848
캐딜락 XT6,2849
아우디 A7,2850
아우디 Q8,2851
제네시스 G80,2852
푸조 2008,2856
푸조 e-2008,2856
푸조 2008,2856
링컨 코세어,2929
아우디 Q5,2936
아우디 Q5 스포트백,2936
기아 쏘렌토 하이브리드,2938
기아 모닝,2939
아우디 Q3 스포트백,2943
아우디 Q3,2943
메르세데스-벤츠 마이바흐 GLS클래스,2949
메르세데스-벤츠 GLS클래스,2949
랜드로버 디펜더 90,2951
랜드로버 디펜더 110,2951
랜드로버 디펜더 130,2951
현대 싼타페,2956
아우디 S6,2957
아우디 S7,2958
아우디 e-트론,2959
푸조 e-208,2960
아우디 S8 L,2965
르노코리아 SM6,2967
기아 카니발 하이리무진,2970
기아 카니발,2970
아우디 SQ5,2973
아우디 SQ5 스포트백,2973
아우디 RSQ8,2974
메르세데스-벤츠 GLB클래스,2980
메르세데스-벤츠 AMG GLB클래스,2980
메르세데스-벤츠 GLA클래스,2981
메르세데스-벤츠 AMG GLA클래스,2981
현대 투싼,2987
현대 투싼 하이브리드,2988
벤틀리 플라잉 스퍼,2993
폭스바겐 제타,3001
제네시스 G70,3003
제네시스 G70 슈팅브레이크,3003
포르쉐 타이칸 GTS,3022
포르쉐 타이칸 크로스 투리스모,3022
포르쉐 타이칸,3022
제네시스 GV70,3023
마이브 M1,3032
BMW 4시리즈,3033
BMW 4시리즈 컨버터블,3033
BMW 4시리즈 그란쿠페,3033
테슬라 모델Y,3038
폭스바겐 티록,3043
메르세데스-벤츠 S클래스,3046
캐딜락 XT4,3051
현대 아이오닉 5,3057
토요타 시에나 하이브리드,3059
BMW M3,3063
BMW M3 투어링,3063
현대 스타리아 캠퍼,3067
현대 스타리아,3067
현대 스타리아 리무진,3067
링컨 네비게이터,3068
KG 모빌리티 렉스턴 스포츠,3071
KG 모빌리티 렉스턴 스포츠 칸,3072
BMW M4 컨버터블,3073
BMW M4,3073
기아 K3,3075
기아 K3 GT,3075
기아 K8 하이브리드,3096
기아 K8,3096
기아 K9,3111
아우디 S5,3112
아우디 S5 스포트백,3112
캐딜락 에스컬레이드,3113
아우디 S4,3115
기아 EV6 GT,3116
기아 EV6,3116
현대 싼타페 하이브리드,3118
기아 스포티지,3119
제네시스 일렉트리파이드 G80,3120
기아 스포티지 하이브리드,3124
아우디 RS7,3128
쉐보레 볼트 EUV,3131
쉐보레 볼트 EV,3132
현대 캐스퍼,3139
제네시스 GV60,3141
지프 그랜드 체로키 L,3148
BMW iX3,3150
BMW iX,3151
메르세데스-벤츠 AMG EQS,3155
아우디 e-트론 GT,3172
아우디 RS e-트론 GT,3173
제네시스 G90,3175
제네시스 G90 LWB,3175
미니 해치백 SE,3193
쉐보레 타호,3196
폴스타 2,3198
쉐보레 트래버스,3204
볼보 C40 리차지,3213
제네시스 일렉트리파이드 GV70,3216
캐딜락 CT5-V,3217
캐딜락 CT5,3217
메르세데스-벤츠 C클래스,3218
BMW i4 M 그란쿠페,3224
BMW i4 그란쿠페,3224
디피코 포트로 EV 탑,3225
디피코 포트로 EV 픽업,3225
볼보 XC90 플러그인 하이브리드,3229
볼보 S90 플러그인 하이브리드,3230
아우디 e-트론 S 스포트백,3246
아우디 e-트론 S,3246
기아 니로 플러스,3256
기아 니로 EV,3259
토요타 GR 86,3261
렉서스 NX 플러그인 하이브리드,3262
렉서스 NX 하이브리드,3262
렉서스 NX F 스포츠 플러그인 하이브리드,3262
현대 팰리세이드,3268
쉐보레 이쿼녹스,3273
랜드로버 레인지로버 스포츠,3276
아우디 A3 세단,3285
푸조 308,3287
메르세데스-벤츠 EQB,3292
기아 셀토스,3299
현대 아이오닉 6,3313
메르세데스-벤츠 EQE,3323
메르세데스-벤츠 AMG EQE,3323
기아 레이,3332
폭스바겐 ID.4,3336
BMW 7시리즈,3343
르노코리아 XM3 E-TECH 하이브리드,3346
현대 그랜저,3357
현대 그랜저 하이브리드,3358
아우디 S3 세단,3399
현대 코나,3406
현대 코나 하이브리드,3407
BMW iX1,3410
BMW X1,3411
메르세데스-벤츠 EQS SUV,3412
BMW XM,3418
르노코리아 QM6,3434
현대 아반떼,3437
현대 아반떼 하이브리드,3438
쉐보레 트랙스 크로스오버,3440
현대 코나 일렉트릭,3450
현대 쏘나타,3451
현대 쏘나타 하이브리드,3452
기아 EV9,3454
푸조 408,3460
토요타 크라운 크로스오버 하이브리드,3465